absdata,noisyabsdata
0.49,0.4947568209484847
0.48,0.4586436468008027
0.47,0.495540390492081
0.46,0.42718631878097685
0.45,0.4437491612025675
0.44,0.4134766649846369
0.43,0.4352793199633473
0.42,0.47641752033136997
0.41000000000000003,0.44712390205478175
0.4,0.45718015772594506
0.39,0.3442642877472287
0.38,0.3889900835962216
0.37,0.32083260898995747
0.36,0.37924142853759896
0.35,0.36628488161198347
0.33999999999999997,0.4048155184279838
0.32999999999999996,0.3849614741746003
0.32,0.3526611524374587
0.31,0.2847463306364295
0.3,0.27620030965083064
0.29000000000000004,0.18742192890843745
0.28,0.2575847731030279
0.27,0.19244017325695162
0.26,0.30649128892347355
0.25,0.2950969985929492
0.24,0.24691437245268616
0.22999999999999998,0.21107961207492237
0.21999999999999997,0.2271532128693014
0.21000000000000002,0.29025193332100785
0.2,0.2674558027145673
0.19,0.1675778944324523
0.18,0.1884205660460833
0.16999999999999998,0.11397516524936328
0.15999999999999998,0.18003654537815447
0.15000000000000002,0.1869531322351494
0.14,0.18500223523148146
0.13,0.05343908639204609
0.12,0.14523103934332388
0.10999999999999999,0.06678926770305249
0.09999999999999998,0.08117225240064495
0.09000000000000002,0.12940052025233836
0.08000000000000002,0.09491028207484775
0.07,0.061812908159757346
0.06,0.0903366272767233
0.04999999999999999,0.1317249339454959
0.03999999999999998,0.008825313784165931
0.030000000000000027,-0.03750500829716101
0.020000000000000018,-0.03811204895225278
0.010000000000000009,-0.03721396007157759
0.0,-0.03356054699369725
0.010000000000000009,0.03883405849309099
0.020000000000000018,-0.08428850438810215
0.030000000000000027,0.04179819417890196
0.040000000000000036,0.0010789324999864389
0.050000000000000044,0.10497809726976909
0.06000000000000005,0.017221785218197977
0.06999999999999995,0.07037788117815745
0.07999999999999996,0.033120711559894246
0.08999999999999997,0.05592201587454083
0.09999999999999998,0.08699302848044678
0.10999999999999999,0.0985602317845594
0.12,0.09375935030050438
0.13,0.186415925737767
0.14,0.16750696247610747
0.15000000000000002,0.24275736803496142
0.16000000000000003,0.1461350602734688
0.17000000000000004,0.22333153854362647
0.18000000000000005,0.07503805745048162
0.18999999999999995,0.2219241884709176
0.19999999999999996,0.21857327283285508
0.20999999999999996,0.1912910350042939
0.21999999999999997,0.2547674163075623
0.22999999999999998,0.2738814370435644
0.24,0.2916802824293333
0.25,0.2709895660184825
0.26,0.2900534613940628
0.27,0.2362990843141456
0.28,0.2252410771548817
0.29000000000000004,0.27661916371570816
0.30000000000000004,0.3093275185950654
0.31000000000000005,0.3575472335915044
0.31999999999999995,0.2804740631551718
0.32999999999999996,0.3055261009033771
0.33999999999999997,0.48872369353009903
0.35,0.3188707321564245
0.36,0.4560151495056316
0.37,0.41805744633756603
0.38,0.35210984176879445
0.39,0.38467224242171805
0.4,0.38924193767485543
0.41000000000000003,0.4336744846049226
0.42000000000000004,0.4882820479196238
0.43000000000000005,0.3481098141965433
0.43999999999999995,0.5411864432483494
0.44999999999999996,0.4888894642794186
0.45999999999999996,0.4325549038385092
0.47,0.46369943199417823
0.48,0.49497902036499647
0.49,0.5048085592004612
0.5,0.5600391458774204
